department,staff_salary,years_of_experience,years_of_work
Sales,48169,33,4
Business Development,11979,29,7
Services,41658,32,14
Research and Development,32759,35,5
Marketing,16771,32,18
Support,11844,31,19
Marketing,30190,27,5
Product Management,46261,15,5
Accounting,16718,6,4
Services,56681,24,6
Training,16523,12,2
Engineering,51869,34,8
Business Development,34239,7,9
Support,44721,40,3
Legal,14043,5,10
Sales,14142,38,6
Research and Development,28924,23,17
Human Resources,54959,11,13
Sales,15737,38,12
Engineering,51555,40,13
Business Development,17315,19,20
Support,24035,39,6
Marketing,47691,12,3
Sales,25183,40,8
Business Development,59899,14,3
Product Management,18944,4,19
Research and Development,35758,21,8
Accounting,40762,14,11
Legal,47575,8,20
Engineering,49901,20,16
Engineering,14797,21,15
Engineering,59947,12,18
Engineering,27674,4,18
Sales,26219,39,18
Engineering,36875,10,15
Engineering,44675,3,12
Engineering,14985,29,16
Engineering,40023,31,11
Product Management,25698,3,7
Product Management,17114,34,6
Product Management,47724,9,6
Human Resources,10929,14,12
Human Resources,36851,33,3
Engineering,40447,7,16
Support,38751,29,3
Accounting,51311,40,18
Product Management,29753,18,19
Sales,24276,22,6
Product Management,12519,40,10
Training,59006,24,9
Legal,29783,27,9
Legal,55457,33,12
Engineering,42108,24,3
Services,37382,39,15
Legal,31852,3,3
Engineering,19576,9,17
Product Management,52844,5,13
Engineering,58139,39,11
Engineering,37088,36,10
Services,10877,15,5
Support,23936,29,13
Sales,30790,9,13
Training,37860,23,18
Engineering,34687,11,12
Research and Development,28809,23,13
Support,14026,22,19
Product Management,15741,30,7
Engineering,46722,16,17
Training,59006,23,7
Sales,10128,4,5
Sales,25673,13,6
Research and Development,36685,10,14
Support,42743,25,19
Services,15631,39,18
Services,28347,37,19
Marketing,14873,16,10
Accounting,38272,31,3
Research and Development,32313,23,19
Sales,26095,9,15
Research and Development,44334,20,13
Support,59830,19,3
Human Resources,14302,30,10
Accounting,38155,35,17
Legal,32407,31,11
Business Development,23749,8,6
Accounting,35095,26,13
Human Resources,31386,23,5
Sales,47693,21,20
Accounting,42546,20,19
Business Development,54197,33,10
Product Management,42866,37,17
Legal,13681,21,3
Research and Development,41850,27,18
Human Resources,49249,34,17
Marketing,53637,17,17
Marketing,43465,15,10
Sales,46528,15,10
Research and Development,46210,38,9
Sales,36877,7,18
Marketing,46239,30,15
Marketing,55596,22,6
Product Management,54386,40,14
Accounting,59240,31,14
Accounting,11722,29,17
Training,43696,31,20
Engineering,18278,11,13
Legal,51413,17,15
Research and Development,33113,31,18
Legal,25425,36,8
Training,25859,17,7
Sales,46128,38,9
Support,33866,4,9
Research and Development,22030,24,13
Research and Development,39779,19,7
Engineering,54279,39,4
Business Development,16429,22,7
Engineering,37710,3,15
Business Development,33769,38,17
Research and Development,34127,10,11
Engineering,49509,38,7
Legal,17899,20,7
Services,15021,15,4
Marketing,57682,26,6
Engineering,24069,18,13
Human Resources,18865,11,4
Marketing,41620,25,17
Business Development,12598,13,19
Engineering,49059,12,7
Sales,16379,31,17
Business Development,47422,25,9
Human Resources,39918,22,5
Training,37067,20,17
Services,41175,39,5
Accounting,56662,28,16
Engineering,58464,35,8
Services,38822,28,8
Marketing,56017,17,18
Human Resources,22273,17,11
Support,23518,3,4
Support,31696,33,12
Training,48534,7,10
Human Resources,39384,33,7
Engineering,21442,11,12
Accounting,51674,24,17
Services,17097,19,18
Engineering,13353,9,15
Training,54770,33,8
Support,15573,39,8
Business Development,25849,21,7
Human Resources,25330,17,4
Product Management,16808,36,17
Business Development,36137,20,11
Research and Development,45924,33,4
Legal,40148,8,7
Business Development,22641,15,14
Support,17662,17,16
Product Management,23473,37,5
Product Management,44685,10,3
Business Development,37268,38,15
Product Management,30770,3,5
Product Management,20154,38,19
Services,41417,13,8
Marketing,23453,3,6
Human Resources,22409,36,6
Accounting,28775,6,14
Support,50323,9,2
Accounting,24460,5,5
Services,39382,24,9
Training,41188,7,10
Business Development,36505,17,9
Support,48732,35,14
Accounting,15468,20,17
Sales,33157,8,10
Human Resources,32262,11,2
Research and Development,26670,39,3
Research and Development,18646,3,2
Services,41130,24,17
Support,58700,21,2
Business Development,37476,6,7
Business Development,28121,18,6
Business Development,18508,23,13
Engineering,15594,26,2
Training,43151,13,15
Research and Development,23118,9,8
Product Management,41409,24,19
Product Management,17062,5,2
Services,10093,29,12
Marketing,34152,40,16
Marketing,10606,25,7
Human Resources,57906,33,8
Training,24815,21,7
Business Development,10659,4,13
Marketing,59152,14,5
Services,53922,38,16
Engineering,53525,11,7
Sales,22992,37,16
Human Resources,33617,34,4
Engineering,39941,30,2
Support,26585,38,19